#,In cue,Out cue,Duration,Speaker,Language,Dialogue,Annotations,Error Type,Transcript,selectable
200,00:08:35:28,00:08:37:01,00:00:01:03,Student A16,English,"Oh, [unintelligible] I just press enter?",,,a,yes
201,00:08:37:20,00:08:38:27,00:00:01:07,Teacher A,English,You just type...,,,a,no
202,00:08:39:11,00:08:42:06,00:00:02:25,Teacher A,English,"There we go, and now for the one with the total...",,,a,no
203,00:08:44:05,00:08:46:07,00:00:02:02,Teacher A,English,What do we do for the one with the total?,,,a,no
204,00:08:47:27,00:08:54:03,00:00:06:06,Teacher A,English,"So this one, you guys did zero point zero seven C, because it would take that number, multiply by the cost...",,,a,no
205,00:08:54:05,00:08:57:22,00:00:03:17,Student A9,English,"Wait, would it be one point zero seven?",,,a,yes
206,00:08:58:12,00:08:59:14,00:00:01:02,Student A9,English,"Would it, or well...",,,a,yes
207,00:09:00:25,00:09:02:23,00:00:01:28,Teacher A,English,"For the grand total, times what?",,,a,no
208,00:09:03:09,00:09:05:07,00:00:01:28,Student A9,English,"Times point zero seven, would it?",,,a,yes
209,00:09:05:09,00:09:07:24,00:00:02:15,Teacher A,English,One point zero seven times what for the last one?,,,a,no
210,00:09:07:26,00:09:08:21,00:00:00:25,Student A1,English,Times C.,,,a,yes
211,00:09:11:13,00:09:13:19,00:00:02:06,Student A9,English,"So, it'd be one point zero seven C.",,,a,yes
212,00:09:13:21,00:09:19:02,00:00:05:11,Student A1,English,"Wait, so, the last one is one point zero... C?",,,a,yes
213,00:09:19:04,00:09:19:26,00:00:00:22,Student A9,English,I'm so smart!,,,a,yes
214,00:09:20:01,00:09:22:13,00:00:02:12,Student A16,English,"I got it right, I'm insane!",,,a,yes
215,00:09:22:13,00:09:23:05,00:00:00:22,Student A9,English,I'm actually him.,,,a,yes
216,00:09:28:26,00:09:29:26,00:00:01:00,Student A1,English,"Oh, yeah, I got it.",,,a,yes
217,00:09:29:29,00:09:31:22,00:00:01:23,Student A9,English,"I told you, I'm him!",,,a,yes
218,00:09:32:20,00:09:34:03,00:00:01:13,Student A9,English,One point zero seven C.,,,a,yes
219,00:09:35:26,00:09:37:18,00:00:01:22,Student A9,English,"[Student A16], we deserve a little break.",,,a,yes
220,00:09:38:07,00:09:38:23,00:00:00:16,Student A1,English,My calculator is tired of this.,,,a,yes
221,00:09:38:25,00:09:41:22,00:00:02:27,Student A9,English,"Wait, we should do Prodigy while we wait.",,,a,yes
222,00:09:41:24,00:09:42:28,00:00:01:04,Student A16,English,Prodigy takes too long.,,,a,yes
